"","theta.2.5.","theta.97.5.","theta0.2.5.","theta0.97.5.","mean1st","species","phylum"
"1",0.274365736009042,0.984241932083702,0.0255992575,0.132343525,0.734697864995781,"Cyprinus rubrofuscus","Teleostei"
"2",0.177615309486554,0.967539522443225,0.000260141675,0.021898325,0.63084331426906,"Oreochromis mossambicus","Teleostei"
"3",0.213427827736863,0.924542120714068,0.000439449075,0.02877853,0.584950817586264,"Rhinogobius similis","Teleostei"
"4",0.281415202701191,0.973531195033573,0.00241021375,0.0551877175,0.712729349679208,"Carassius cuvieri","Teleostei"
"5",0.081175754202493,0.888667655277095,0.00102652475,0.0366553324999999,0.437675963692008,"Rhodeus ocellatus","Teleostei"
"6",0.374635898626679,0.923400110814577,0.000338417725,0.0261202299999999,0.72856377526768,"Paracanthocobitis mandalayensis","Teleostei"
"7",0.148451929960975,0.94762390927287,0.00092494355,0.02768487,0.5950695572126,"Rhinogobius cliffordpopei","Teleostei"
"8",0.111217011209347,0.952737094715462,0.000652970575,0.0299170825,0.542513049115223,"Misgurnus anguillicaudatus","Teleostei"
"9",0.0969892552977181,0.870567608384689,0.000815800475,0.021263595,0.456456673984014,"Pethia stoliczkana","Teleostei"
"10",0.0863410271624157,0.920341514716078,0.00192579025,0.02775475,0.465146082860682,"Hemiculter leucisculus","Teleostei"
"11",0.198011128210107,0.937131168858409,0.00027852385,0.026278615,0.564570188591767,"Lepidocephalichthys berdmorei","Teleostei"
"12",0.169862861473816,0.734261160553874,0.00038739795,0.0204570125,0.441880243343743,"Danio roseus","Teleostei"
"13",0.066358138832787,0.93456979138554,0.00272395575,0.03308913,0.524379611077121,"Placocheilus cryptonemus","Teleostei"
"14",0.10301636579847,0.910056255250843,0.0002530951,0.0163741175,0.521744287644144,"Neosalanx taihuensis","Teleostei"
"15",0.138527174508857,0.918031016396375,0.000873919825,0.02099244,0.591549549426769,"Creteuchiloglanis kamengensis","Teleostei"
"16",0.0831412276575812,0.912731923837477,0.000235112125,0.016426595,0.496159873386971,"Oryzias sinensis","Teleostei"
"17",0.129465015872976,0.868950096060971,0.000677010075,0.0214695324999999,0.400646824859802,"Ictalurus punctatus","Teleostei"
"18",0.101812907621913,0.882120785775465,0.00100683875,0.0205682875,0.483419067423949,"Triplophysa stenura","Teleostei"
"19",0.256033206973603,0.90847361053757,0.00235796,0.0381649675,0.634738867248548,"Pteronemacheilus meridionalis","Teleostei"
"20",0.0999364174357298,0.90759834167306,0.00025303605,0.018793275,0.526204908903663,"Dario dayingensis","Teleostei"
"21",0.148131503711343,0.838684057850654,0.000932763675,0.0298520325,0.485253819865086,"Labeo rohita","Teleostei"
"22",0.127370461650473,0.83362480801402,0.000925274525,0.024258745,0.455189210810765,"Channa maculata","Teleostei"
"23",0.168765923347652,0.680148455164163,0.00037773225,0.0272670725,0.401139989507802,"Clarias fuscus","Teleostei"
"24",0.0831531963568056,0.83273739110321,0.0002369151,0.0180575925,0.387717081183166,"Hyporhamphus intermedius","Teleostei"
"25",0.196968559092566,0.909429897268128,0.00020714805,0.02175338,0.649937947357836,"Mastacembelus armatus","Teleostei"
"26",0.373553176291701,0.921165790638788,0.000274916775,0.02451067,0.72094644168723,"Anguilla nebulosa","Teleostei"
"27",0.296788194484347,0.908742243344859,0.000385736075,0.02794626,0.679116886255189,"Glaridoglanis andersonii","Teleostei"
"28",0.288648319693743,0.895518513295844,0.00147928025,0.038468585,0.613151530565306,"Glyptothorax burmanicus","Teleostei"
"29",0.0977738544445515,0.956270400004091,0.00035407895,0.02270514,0.571085454358664,"Hypophthalmichthys nobilis","Teleostei"
"30",0.0882706514409452,0.885346925594791,0.0002184698,0.01873135,0.472978731323008,"Botia histrionica","Teleostei"
"31",0.359737148683276,0.960834691150596,0.005665067,0.0620017625,0.730803986426601,"Percocypris tchangi","Teleostei"
"32",0.119621272250914,0.902737692766828,0.000221220425,0.0156914775,0.541578393314655,"Homatula anteridorsalis","Teleostei"
"33",0.0928433064649302,0.908213478731755,0.00055686265,0.02405949,0.50308034824454,"Crossocheilus burmanicus","Teleostei"
"34",0.100455968152997,0.897774062618316,0.00027660625,0.02491537,0.496816491670347,"Cirrhinus mrigala","Teleostei"
