"","Mean Rana catesbeiana","lower95CI Rana catesbeiana","upper95CI Rana catesbeiana","SD Rana catesbeiana","Mode Rana catesbeiana","site"
"1",0.109800382120429,0.00327463240790265,0.544317969724924,0.140389869324921,0.647258412084419,"GLG23033"
"2",0.170410618495126,0.0151063746512927,0.575643846978193,0.147893272659686,0.491306858577643,"GLG23034"
"3",0.325479482032051,0.0555707868548808,0.755970945630424,0.189487263484841,0.736023945851019,"GLG23035"
"4",0.114705140336681,0.0110412742123977,0.415390303109871,0.106716561014597,0.172386416933214,"GLG23036"
"5",0.218467590221207,0.00969208748865064,0.760638428413042,0.20527270247199,0.632624215277412,"GLG23037"
"6",0.367489053224262,0.100682547041576,0.718210868545426,0.16439352424811,0.565439080770088,"GLG23038"
"7",0.106828339104367,0.00559639936942527,0.456986699663264,0.120042394774089,0.162069139012534,"GLG23039"
"8",0.100501052300832,0.00668396296414791,0.410648109859753,0.107597765933417,0.326059546900331,"GLG23040"
"9",0.372992614668842,0.0419129131813204,0.856727914888474,0.234396219060925,0.712006431175867,"GLG23041a"
"10",0.561432409372589,0.0735259429531168,0.962579092493239,0.267278752286926,0.955896905400604,"GLG23041b"
"11",0.273748316680075,0.0238917112225598,0.770530497757058,0.207508297716281,0.238382296681587,"GLG23042"
"12",0.185166021222336,0.0314245637613553,0.512129020689345,0.126623224718428,0.177699362950315,"GLG23043"
"13",0.316669328321729,0.00781606148678615,0.913471479017643,0.27538243934785,0.0262607154118407,"GLG23044"
"14",0.085359092727386,0.00315985288586396,0.404022766306103,0.109229523669748,0.0251102881120412,"GLG23045"
"15",0.182967076530479,0.00972770560962441,0.656964343191928,0.174487599613329,0.0528790148420512,"GLG23046"
"16",0.152201383616619,0.00631759801487875,0.605020352328161,0.161641313122971,0.0377350070398151,"GLG23047"
"17",0.185783038454895,0.00223771510743348,0.814468799841067,0.222055254143823,0.0218262417354847,"GLG23048"
"18",0.208226025782569,0.00296806421939644,0.839667431862614,0.233384798714029,0.0284866344861773,"GLG23049"
"19",0.370661743324832,0.0116661030380657,0.934975273931055,0.285682604928459,0.0691686591588092,"GLG23050"
"20",0.245132112238434,0.0107280488402778,0.793121476688265,0.218807535212141,0.068415963552589,"GLG23051"
"21",0.326823405206308,0.0178370602151768,0.868015736420031,0.248183855036415,0.0759771537623883,"GLG23052"
"22",0.288865796669597,0.0170942909479153,0.820571068526915,0.227305262602657,0.104903859985803,"GLG23053"
"23",0.282740105490944,0.0252065295329094,0.772853530943725,0.207684105851111,0.211424642460301,"GLG23054"
"24",0.18387708417726,0.0147106175640215,0.60390142847074,0.158482039349225,0.385116835622285,"GLG23055"
"25",0.135884541789464,0.0109878236760744,0.495072002242875,0.127845400905776,0.116725532141199,"GLG23056"
"26",0.167436977383367,0.0101855973959738,0.613029686181797,0.159969936843595,0.264837388689978,"GLG23057"
"27",0.219556312832433,0.0185048563385744,0.681947443356571,0.179146619900175,0.135152335718234,"GLG23058"
"28",0.352772909672734,0.015455781097971,0.90818791359316,0.267954721808273,0.0697432980629736,"GLG23059"
"29",0.273505100445674,0.014793726187007,0.817829580984733,0.22719144651783,0.0833223013605359,"GLG23060"
"30",0.248409656782991,0.0276243418861346,0.693662659551594,0.180427660414323,0.0901898530893162,"GLG23061"
"31",0.125292266414145,0.00214906163902809,0.637959621764911,0.167252836465917,0.216285554650402,"GLG23062"
"32",0.0968260599055514,0.00064343894858584,0.608855102140748,0.158279202584718,0.0495989973116608,"GLG23063"
"33",0.150296998956,0.0105193160639879,0.550447009079227,0.142488721641244,0.0875133935873619,"GLG23064"
"34",0.102312970796553,0.00109996516982925,0.590214978741496,0.15337047173204,0.092599193538933,"GLG23065"
"35",0.132109942592216,0.00270476894541957,0.631750022591788,0.167411538304631,0.279550576946519,"GLG23066"
"36",0.0992291088169306,0.00109802494360144,0.591443342010162,0.151410683252905,0.134852811590763,"GLG23067"
"37",0.0487051977334847,0.00164748646461417,0.258449097489096,0.0722821530378817,0.0391029263478695,"GLG23068"
"38",0.0694422752153096,0.00183530534920278,0.371820827872765,0.101684537194875,0.382440492094249,"GLG01"
"39",0.118951628953651,0.000559689541367195,0.718572794608208,0.185466325740533,0.033843355307169,"GLG02"
"40",0.0959647088899019,0.00169347705192503,0.517750703945776,0.136621643411911,0.157227809602819,"GLG03"
"41",0.172914245818414,0.00526630661779122,0.710014024241935,0.187840984043136,0.0596253954650732,"GLG04"
"42",0.136371058375009,0.00215832966655071,0.669092937318095,0.176736506109877,0.140470060387285,"GLG05"
"43",0.184708179227819,0.00524803646382568,0.733827827038351,0.197111685247858,0.265741952296908,"GLG06"
"44",0.105412856501895,0.000377857426013034,0.687049279208881,0.176758655890136,0.0255324294472679,"GLG07"
"45",0.097124992569379,0.00319348956031686,0.469674494328786,0.122913296026444,0.0138286913103129,"GLG08"
